player_id,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,r_run,woba,pull_percent,straightaway_percent,opposite_percent,linedrives_percent,Batter_Cluster_Label
643269,0.027272727272727275,0.4362934362934362,0.35648148148148145,0.5425,0.48465266558966075,0.6101321585903083,0.5616482803374432,0.22371967654986524,0.5912408759124087,0.029850746268656716,0.05208333333333333,0.5901253918495298,0.5099206349206348,0.33061224489795915,0.5040160642570282,0.5342789598108746,4
643289,0.1272727272727273,0.1897039897039897,0.28086419753086417,0.6066666666666667,0.5810446957458266,0.6365638766519823,0.6314081765087606,0.3153638814016172,0.5054744525547444,0.21558872305140964,0.25,0.6614420062695926,0.5052910052910053,0.44285714285714284,0.39759036144578314,0.40189125295508266,2
643376,0.2909090909090909,0.2247104247104247,0.5046296296296297,0.555,0.7253634894991923,0.698237885462555,0.7456197274497081,0.6118598382749326,0.41240875912408753,0.30514096185737977,0.29166666666666663,0.7782131661442007,0.6587301587301587,0.427891156462585,0.2576974564926372,0.4373522458628841,0
643393,0.13636363636363638,0.10733590733590734,0.5308641975308642,0.6341666666666667,0.567043618739903,0.7723935389133627,0.6829980532122,0.26235399820305483,0.515206812652068,0.2885572139303483,0.4513888888888889,0.7405956112852665,0.5165343915343915,0.47687074829931975,0.35341365461847385,0.4515366430260047,2
643396,0.13636363636363638,0.12483912483912485,0.2592592592592592,0.6766666666666666,0.5675821217016694,0.7011747430249633,0.6518494484101233,0.2174303683737646,0.557177615571776,0.3681592039800995,0.5833333333333333,0.6935736677115987,0.41402116402116407,0.4802721088435373,0.45381526104417663,0.3900709219858155,2
643418,0.09545454545454546,0.3861003861003861,0.37037037037037035,0.46125,0.5258481421647819,0.5506607929515418,0.5601881894873459,0.38005390835579517,0.4434306569343065,0.12935323383084577,0.11979166666666666,0.5948275862068966,0.45734126984126977,0.563265306122449,0.32931726907630515,0.17848699763593376,4
643436,0.16363636363636364,0.45945945945945943,0.2175925925925926,0.6174999999999999,0.8174474959612279,0.621145374449339,0.7670343932511358,0.6981132075471698,0.5675182481751824,0.09950248756218905,0.08333333333333333,0.7758620689655173,0.2857142857142857,0.48571428571428577,0.5783132530120481,0.2671394799054374,0
643446,0.18181818181818185,0.09703989703989704,0.35802469135802467,0.74,0.6828217555196554,0.7958883994126285,0.763140817650876,0.3414195867026056,0.5888077858880778,0.3980099502487562,0.48611111111111105,0.8040752351097179,0.48478835978835977,0.43605442176870746,0.42570281124497994,0.4814814814814814,2
643524,0.30000000000000004,0.18996138996138998,0.29398148148148145,0.6937500000000001,0.7665589660743134,0.7136563876651982,0.7772550292018171,0.5309973045822103,0.5556569343065693,0.39303482587064675,0.3489583333333333,0.8005485893416928,0.5892857142857142,0.43265306122448965,0.3232931726907631,0.39125295508274227,2
643565,0.05454545454545455,0.3297297297297297,0.5694444444444444,0.5287499999999999,0.47495961227786754,0.6894273127753303,0.5908500973393901,0.22237196765498649,0.5282846715328466,0.14427860696517414,0.20833333333333331,0.6418495297805643,0.2599206349206349,0.40102040816326523,0.6877510040160641,0.5153664302600472,4
644374,0.17727272727272728,0.36679536679536684,0.2962962962962963,0.545,0.598546042003231,0.6123348017621145,0.6312459441920831,0.4110512129380054,0.520985401459854,0.26865671641791045,0.265625,0.6665360501567398,0.5188492063492063,0.42142857142857126,0.40361445783132527,0.43617021276595735,0
644433,0.1090909090909091,0.39768339768339767,0.07407407407407407,0.5325,0.6882067851373183,0.48237885462555063,0.627839065541856,0.5741239892183289,0.4215328467153284,0.09950248756218905,0.11458333333333333,0.6206896551724138,0.7480158730158729,0.5877551020408163,0.010040160642570267,0.40189125295508266,0
645261,0.0,0.9999999999999999,0.2175925925925926,0.085,0.0840064620355412,0.21365638766519823,0.14503569110966905,0.048517520215633415,0.2810218978102189,0.0,0.0,0.18573667711598746,0.30952380952380953,0.23061224489795917,0.8072289156626506,0.009456264775413725,3
645277,0.4,0.22522522522522523,0.25925925925925924,0.6475,0.7339795368874529,0.6681350954478706,0.737508111615834,0.5265049415992813,0.5261557177615571,0.5306799336650083,0.5555555555555556,0.7601880877742946,0.6395502645502645,0.3979591836734693,0.3065595716198126,0.3585500394011032,1
645302,0.1,0.30862290862290864,0.2762345679012346,0.5391666666666667,0.49596122778675283,0.6431718061674008,0.5830629461388709,0.24618149146451032,0.5237226277372262,0.2222222222222222,0.34375,0.6324451410658308,0.6712962962962963,0.39659863945578233,0.2764390896921017,0.4278959810874704,4
645444,0.0,0.3374517374517374,0.3379629629629629,0.47250000000000003,0.3344103392568659,0.5506607929515418,0.4448410123296561,0.048517520215633415,0.4981751824817518,0.04975124378109452,0.09375,0.5007836990595611,0.636904761904762,0.3918367346938775,0.3152610441767068,0.260047281323877,4
645801,0.07272727272727272,0.3142857142857143,0.5401234567901234,0.395,0.46634356488960693,0.5917767988252569,0.5425048669695004,0.35220125786163525,0.340632603406326,0.08623548922056384,0.06944444444444445,0.5940438871473354,0.6329365079365079,0.48571428571428554,0.22623828647925032,0.4042553191489361,4
646240,0.6909090909090909,0.25971685971685965,0.3487654320987654,0.6974999999999999,0.8303715670436188,0.7488986784140969,0.8312783906554188,0.6334231805929919,0.5845498783454988,0.8092868988391376,0.7534722222222221,0.8487460815047022,0.4212962962962963,0.572108843537415,0.35676037483266393,0.45311268715524033,1
647304,0.2545454545454546,0.14903474903474906,0.2777777777777778,0.63,0.6359719978459882,0.6688693098384728,0.6787800129785854,0.3818508535489668,0.504257907542579,0.351575456053068,0.3055555555555555,0.7108150470219436,0.47023809523809534,0.5394557823129251,0.3393574297188754,0.40819542947202503,2
647351,0.2181818181818182,0.20566280566280568,0.2731481481481481,0.4774999999999999,0.5239633817986,0.5807635829662261,0.5723556132381571,0.35938903863432164,0.3746958637469587,0.29850746268656714,0.32638888888888884,0.6136363636363635,0.5343915343915344,0.40272108843537413,0.40829986613119135,0.2970843183609141,4
649557,0.2090909090909091,0.20205920205920205,0.18827160493827158,0.6191666666666666,0.69520732364028,0.6299559471365638,0.6972744970798184,0.49236298292902064,0.4963503649635036,0.29519071310116085,0.2465277777777778,0.7202194357366771,0.7466931216931215,0.3700680272108843,0.22623828647925032,0.5279747832939322,0
